横坐标	纵坐标	需求量	左时间窗	右时间窗	服务时间
40    50	 0	 0	240	 0
25	85	20	49	191	10
22	75	30	30	168	10
22	85	10	95	152	10
20	80	40	69	193	10
20	85	20	40	189	10
18	75	20	60	159	10
15	75	20	54	133	10
15	80	10	67	144	10
10	35	20	57	154	10
10	40	30	106	161	10
8	40	40	33	152	10
8	45	20	32	148	10
5	35	10	53	191	10
5	45	10	35	194	10
2	40	20	39	163	10
0	40	20	41	141	10
0	45	20	51	189	10
44	5	20	73	130	10
42	10	40	40	148	10
42	15	10	94	179	10
40	5	10	45	161	10
40	15	40	64	149	10
38	5	30	45	164	10
38	15	10	51	194	10
35	5	20	45	183	10
95	30	30	90	169	10
95	35	20	57	172	10
92	30	10	55	174	10
90	35	10	52	174	10
88	30	10	52	147	10
88	35	20	50	172	10
87	30	10	61	178	10
85	25	10	51	178	10
85	35	30	83	168	10
67	85	20	57	185	10
65	85	40	43	186	10
65	82	10	95	182	10
62	80	30	38	141	10
60	80	10	36	193	10
60	85	30	61	138	10
58	75	20	49	164	10
55	80	10	33	180	10
55	85	20	100	185	10
55	82	10	35	142	10
20	82	10	37	192	10
18	80	10	71	184	10
2	45	10	38	191	10
42	5	10	50	184	10
42	12	10	99	138	10
72	35	30	83	178	10
55	20	19	45	150	10
25	30	3	25	150	10
20	50	5	68	143	10
55	60	16	107	200	10
30	60	16	95	214	10
50	35	19	91	198	10
30	25	23	56	165	10
15	10	20	51	182	10
10	20	19	42	187	10
15	60	17	62	203	10
45	65	9	37	124	10
65	35	3	29	168	10
65	20	6	39	190	10
45	30	17	20	139	10
35	40	16	11	150	10
41	37	16	97	198	10
64	42	9	31	138	10
40	60	21	101	216	10
31	52	27	9	139	10
35	69	23	30	210	10
65	55	14	30	129	10
63	65	8	27	202	10
2	60	5	46	137	10
20	20	8	71	193	10
5	5	16	57	165	10
60	12	31	48	131	10
23	3	7	49	180	10
8	56	27	47	162	10
6	68	30	65	142	10
47	47	13	93	222	10
49	58	10	78	123	10
27	43	9	14	140	10
37	31	14	19	172	10
57	29	18	73	148	10
63	23	2	59	144	10
21	24	28	63	140	10
12	24	13	91	118	10
24	58	19	27	136	10
67	5	25	52	177	10
37	47	6	53	148	10
49	42	13	89	217	10
53	43	14	14	177	10
61	52	3	50	208	10
57	48	23	76	143	10
56	37	6	20	159	10
55	54	26	105	188	10
4	18	35	104	165	10
26	52	9	14	136	10
26	35	15	42	141	10
31	67	3	43	210	10
